host_x	host_y	n_x_known_plant	n_y_known_plant	n_x_plant_z	n_y_plant_z	plant_z	n_plant_z
accinctapubes_albifasciata	accinctapubes_albifasciatadhj01	1	58	1	15	nectandra_hihua	98
accinctapubes_albifasciata	accinctapubes_albifasciatadhj03	1	13	1	8	nectandra_hihua	98
accinctapubes_albifasciata	anadasmus_janzen16	1	96	1	1	nectandra_hihua	98
accinctapubes_albifasciata	anadasmus_janzen17	1	116	1	2	nectandra_hihua	98
accinctapubes_albifasciata	anadasmus_janzen28	1	67	1	32	nectandra_hihua	98
accinctapubes_albifasciata	cerconota_janzen102	1	8	1	6	nectandra_hihua	98
accinctapubes_albifasciata	deuterollyta_chlorisalis	1	25	1	13	nectandra_hihua	98
accinctapubes_albifasciata	stenoma_janzen06	1	136	1	20	nectandra_hihua	98
accinctapubes_albifasciatadhj01	accinctapubes_albifasciatadhj02	58	49	5	2	nectandra_salicifolia	11
accinctapubes_albifasciatadhj01	accinctapubes_albifasciatadhj02	58	49	1	3	persea_americana	22
accinctapubes_albifasciatadhj01	accinctapubes_albifasciatadhj02	58	49	5	2	nectandra_salicifolia	11
accinctapubes_albifasciatadhj01	accinctapubes_albifasciatadhj02	58	49	1	3	persea_americana	22
accinctapubes_albifasciatadhj01	accinctapubes_albifasciatadhj03	58	13	5	2	nectandra_salicifolia	11
accinctapubes_albifasciatadhj01	accinctapubes_albifasciatadhj03	58	13	1	2	persea_americana	22
accinctapubes_albifasciatadhj01	accinctapubes_albifasciatadhj03	58	13	5	2	nectandra_salicifolia	11
accinctapubes_albifasciatadhj01	accinctapubes_albifasciatadhj03	58	13	1	2	persea_americana	22
accinctapubes_albifasciatadhj01	anadasmus_janzen16	58	96	15	1	nectandra_hihua	98
accinctapubes_albifasciatadhj01	anadasmus_janzen17	58	116	24	1	ocotea_veraguensis	101
accinctapubes_albifasciatadhj01	anadasmus_janzen17	58	116	24	1	ocotea_veraguensis	101
accinctapubes_albifasciatadhj01	anadasmus_janzen25	58	39	24	30	ocotea_veraguensis	101
accinctapubes_albifasciatadhj01	anadasmus_janzen25	58	39	13	7	cinnamomum_triplinerve	66
accinctapubes_albifasciatadhj01	anadasmus_janzen25	58	39	1	2	persea_americana	22
accinctapubes_albifasciatadhj01	anadasmus_janzen26	58	26	5	2	nectandra_salicifolia	11
accinctapubes_albifasciatadhj01	anadasmus_janzen26	58	26	13	19	cinnamomum_triplinerve	66
accinctapubes_albifasciatadhj01	anadasmus_janzen26	58	26	24	3	ocotea_veraguensis	101
accinctapubes_albifasciatadhj01	anadasmus_janzen28	58	67	1	11	persea_americana	22
accinctapubes_albifasciatadhj01	anadasmus_janzen28	58	67	1	11	persea_americana	22
accinctapubes_albifasciatadhj01	anadasmus_janzen30	58	16	1	2	persea_americana	22
accinctapubes_albifasciatadhj01	cerconota_janzen102	58	8	15	6	nectandra_hihua	98
accinctapubes_albifasciatadhj01	deuterollyta_chlorisalis	58	25	15	13	nectandra_hihua	98
accinctapubes_albifasciatadhj01	epipajanzen01_janzen22	58	27	13	24	cinnamomum_triplinerve	66
accinctapubes_albifasciatadhj01	stenoma_janzen06	58	136	1	1	persea_americana	22
accinctapubes_albifasciatadhj01	stenoma_janzen06	58	136	1	1	persea_americana	22
accinctapubes_albifasciatadhj01	stenoma_janzen44	58	109	24	1	ocotea_veraguensis	101
accinctapubes_albifasciatadhj02	accinctapubes_albifasciatadhj03	49	13	41	1	ocotea_veraguensis	101
accinctapubes_albifasciatadhj02	accinctapubes_albifasciatadhj03	49	13	2	2	nectandra_salicifolia	11
accinctapubes_albifasciatadhj02	accinctapubes_albifasciatadhj03	49	13	3	2	persea_americana	22
accinctapubes_albifasciatadhj02	anadasmus_janzen17	49	116	41	1	ocotea_veraguensis	101
accinctapubes_albifasciatadhj02	anadasmus_janzen25	49	39	41	30	ocotea_veraguensis	101
accinctapubes_albifasciatadhj02	anadasmus_janzen25	49	39	3	7	cinnamomum_triplinerve	66
accinctapubes_albifasciatadhj02	anadasmus_janzen25	49	39	3	2	persea_americana	22
accinctapubes_albifasciatadhj02	anadasmus_janzen26	49	26	2	2	nectandra_salicifolia	11
accinctapubes_albifasciatadhj02	anadasmus_janzen26	49	26	3	19	cinnamomum_triplinerve	66
accinctapubes_albifasciatadhj02	anadasmus_janzen26	49	26	41	3	ocotea_veraguensis	101
accinctapubes_albifasciatadhj02	anadasmus_janzen28	49	67	3	11	persea_americana	22
