host	n_obs_alone	n_obs_with_par	n_obs_tot	known_plant	selection_test_01	phylum	class	order	family	subfamily	tribe	genus	n_in_10_best_march_2019	n_obs_with_col_event	n_col_event
abacena_accincta	79	2	81	0	n	Arthropoda	Insecta	Lepidoptera	Noctuidae	Acontiinae	NA	Abacena	NA	58	40
accinctapubes_albifasciata	22	34	56	1	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	Accinctapubes	NA	5	5
accinctapubes_albifasciatadhj01	145	36	181	58	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	Accinctapubes	NA	110	47
accinctapubes_albifasciatadhj02	133	11	144	49	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	Accinctapubes	NA	107	48
accinctapubes_albifasciatadhj03	45	6	51	13	n	Arthropoda	Insecta	Lepidoptera	Pyralidae	Epipaschiinae	NA	Accinctapubes	NA	40	31
achalarus_toxeus	5	2	7	5	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Achalarus	NA	5	5
acharia_apicalis	51	16	67	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	4	51	39
acharia_horridadhj01	8	1	9	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	NA	7	7
acharia_horridadhj02	81	3	84	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	NA	67	37
acharia_hyperoche	52	46	98	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	4	39	35
acharia_nesea	29	104	133	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	6	14	12
acharia_ophelians	100	121	221	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	4	92	54
acharia_sarans	43	16	59	0	n	Arthropoda	Insecta	Lepidoptera	Limacodidae	Limacodinae	NA	Acharia	NA	42	36
achlyodes_busirus	62	104	166	56	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Achlyodes	NA	54	52
achlyodes_pallida	35	37	72	27	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Achlyodes	NA	30	28
aclytia_heber	4	1	5	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	NA	Aclytia	NA	4	3
acraga_coa	20	4	24	0	n	Arthropoda	Insecta	Lepidoptera	Dalceridae	Acraginae	NA	Acraga	NA	18	17
acraga_hamata	21	2	23	0	n	Arthropoda	Insecta	Lepidoptera	Dalceridae	Acraginae	NA	Acraga	NA	21	18
acraga_philetera	20	3	23	0	n	Arthropoda	Insecta	Lepidoptera	Dalceridae	Acraginae	NA	Acraga	NA	15	14
acroria_poole02	15	1	16	0	n	Arthropoda	Insecta	Lepidoptera	Noctuidae	Noctuinae	Dypterygiini	Acroria	NA	15	10
acrotomia_mucia	57	35	92	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Acrotomia	NA	12	8
acrotomodes_boladhj01	14	1	15	0	n	Arthropoda	Insecta	Lepidoptera	Geometridae	Ennominae	NA	Acrotomodes	NA	7	7
adeloneivaia_isara	123	2	125	0	n	Arthropoda	Insecta	Lepidoptera	Saturniidae	Ceratocampinae	NA	Adeloneivaia	NA	121	27
adeloneivaia_jason	182	1	183	0	n	Arthropoda	Insecta	Lepidoptera	Saturniidae	Ceratocampinae	NA	Adeloneivaia	NA	179	109
adelpha_aiellae	18	1	19	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	17	15
adelpha_basiloides	7	37	44	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	7	5
adelpha_celerio	11	1	12	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	4	4
adelpha_cytherea	11	18	29	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	11	11
adelpha_fessonia	19	7	26	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	19	16
adelpha_iphicleola	65	9	74	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	52	41
adelpha_iphiclus	40	3	43	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	33	23
adelpha_leucophthalma	27	2	29	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	27	23
adelpha_lorzae	28	1	29	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	25	25
adelpha_melanthe	95	7	102	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	71	58
adelpha_phylaca	0	1	1	0	n	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
adelpha_salmonides	27	9	36	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Limenitidinae	NA	Adelpha	NA	27	27
adhemarius_daphne	2	3	5	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Smerinthinae	Ambulycini	Adhemarius	NA	2	2
adhemarius_fulvescens	59	1	60	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Smerinthinae	Ambulycini	Adhemarius	NA	59	44
adhemarius_ypsilon	132	49	181	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Smerinthinae	Ambulycini	Adhemarius	NA	130	87
adiopa_poole01	9	1	10	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Calpinae	NA	Adiopa	NA	9	8
aellopos_ceculus	121	69	190	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Aellopos	4	116	88
aellopos_fadus	59	62	121	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Aellopos	2	58	47
aellopos_titan	52	43	95	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Macroglossinae	Dilophonotini	Aellopos	1	49	43
aesiocopa_necrofolia	4	17	21	0	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Tortricinae	NA	Aesiocopa	NA	4	4
aesiocopa_necrofoliadhj01	11	1	12	0	n	Arthropoda	Insecta	Lepidoptera	Tortricidae	Tortricinae	NA	Aesiocopa	NA	4	3
aethilla_lavochrea	1	5	6	1	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Pyrginae	NA	Aethilla	NA	1	1
aethria_espinoza01	40	2	42	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Aethria	NA	26	22
agaraea_minuta	64	100	164	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Agaraea	NA	61	46
agaraea_schausi	1	2	3	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Arctiinae	Arctiini	Agaraea	NA	1	1
agathodes_designalis	69	6	75	6	n	Arthropoda	Insecta	Lepidoptera	Crambidae	Spilomelinae	NA	Agathodes	NA	58	40
agraulis_vanillae	20	3	23	0	n	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	NA	Agraulis	NA	14	13
agrius_cingulata	96	38	134	0	n	Arthropoda	Insecta	Lepidoptera	Sphingidae	Sphinginae	Sphingini	Agrius	NA	95	53
aguna_arunce	7	4	11	6	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Aguna	NA	6	6
aguna_asander	51	29	80	24	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Aguna	NA	49	40
aguna_burns01	19	8	27	17	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Aguna	NA	13	13
aguna_burns02	40	22	62	32	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Aguna	NA	24	24
aguna_coeloides	19	13	32	17	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Aguna	NA	11	10
aguna_panama	12	2	14	12	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Eudaminae	NA	Aguna	NA	12	12
aides_brino	72	9	81	43	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Hesperiinae	NA	Aides	NA	59	58
aides_burns01	25	3	28	13	n	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Hesperiinae	NA	Aides	NA	15	14
aithorape_roseicornis	15	2	17	0	n	Arthropoda	Insecta	Lepidoptera	Megalopygidae	Trosiinae	NA	Aithorape	NA	15	8
alesua_janzen178	1	1	2	0	n	Arthropoda	Insecta	Lepidoptera	Erebidae	Hypeninae	NA	Alesua	NA	1	1
