host	par	n_links
heterochroma_sarepta	acrolyta_janzen04	1
anacrusis_nephrodes	actia_janzen02	1
megalota_spinulosa	actia_janzen02	1
chloropaschia_pegalis	actia_janzen04	9
filinota_ignitadhj02	actia_janzen05	1
amorbia_productana	actia_janzen06	1
amorbia_revolutana	actia_janzen06	1
anacrusis_nephrodes	actia_janzen06	10
euglyphis_larunda	actia_janzen06	1
syngamia_florella	actia_janzen06	1
anacampsis_janzen353	actia_janzen07	12
platynota_obliqua	actia_janzen07	2
dichomeris_janzen703	actia_janzen08	1
gelbiolep01_biolep24	actia_janzen08	1
geljanzen01_janzen407	actia_janzen08	1
gelbiolep01_biolep24	actia_janzen09	1
geljanzen01_janzen293	actia_janzen09	1
geljanzen01_janzen347	actia_janzen09	3
geljanzen01_janzen348	actia_janzen09	9
microthyris_prolongalis	actia_janzen09	2
gelbiolep01_biolep24	actia_janzen10	8
geljanzen01_janzen407	actia_janzen10	4
geljanzen01_janzen461	actia_janzen10	7
dichomeris_janzen703	actia_janzen11	20
geljanzen01_janzen07	actia_janzen11	4
geljanzen01_janzen396	actia_janzen11	1
stenoma_janzen144	actia_janzen12	1
antaeotricha_radicalis	actia_janzen13	2
antaeotricha_janzen24	actia_janzen15	1
antaeotricha_janzen245	actia_janzen15	1
antaeotricha_janzen40	actia_janzen15	1
geljanzen01_janzen345	actia_janzen17	1
elachjanzen01_janzen131	actia_janzen18	1
geljanzen01_janzen485	actia_janzen19	11
antaeotricha_janzen366	actia_janzen20	1
lethata_trochalosticta	actia_janzen20	1
dichomeris_costalisdhj02	actia_janzen21	1
antaeotricha_stigmatiasdhj01	actia_janzen22	2
geljanzen01_janzen516	actia_janzen23	3
antaeotricha_janzen890	actia_janzen24	1
geljanzen01_janzen23	actia_janzen25	3
sparganocosma_docsturnerorum	actia_janzen26	2
antaeotricha_janzen146	actia_janzen27	1
euselasia_hygenius	actia_janzen27	1
geljanzen01_janzen369	actia_janzen27	1
platynota_brown007	actia_janzen27	1
dichomeris_janzen703	actia_janzen28	2
geljanzen01_janzen318	actia_janzen29	1
dichomeris_janzen273	actia_janzen31	2
geljanzen01_janzen401	actia_janzen31	1
syllepte_belialis	actia_janzen35	1
dichomeris_janzen703	actia_janzen40	1
geljanzen01_janzen1052	actia_janzen41	1
antaeotricha_janzen77	actia_janzen42	1
antaeotricha_janzen77	actia_janzen43	1
cerconota_janzen81	actia_janzen44	1
phybiolep01_biolep714	actia_janzen45	2
platynota_rostranadhj02	aerophilus_bradzlotnicki	1
strepsicrates_brown25	aerophilus_bradzlotnicki	3
strepsicrates_brown37	aerophilus_bradzlotnicki	2
strepsicrates_brown25	aerophilus_braunsiasharkey09	2
stenoma_completella	aerophilus_colleenhitchcockaedhj02	1
geljanzen01_janzen241	aerophilus_colleenhitchcockaedhj03	1
pilocrocis_purpurascens	aerophilus_colleenhitchcockaedhj05	1
ethmia_lesliesaulae	aerophilus_colleenhitchcockaedhj06	1
desmia_solis19	aerophilus_gregburtoni	1
polyortha_janzen226	aerophilus_janzen02	6
loxiorhiza_unitula	aerophilus_janzen13	2
tebenna_janzen02	aerophilus_janzen14	1
dysodia_janzen35	aerophilus_jessiehillae	1
dysodia_janzen35	aerophilus_jessiehillaedhj02	4
dysodia_sica	aerophilus_jessiehillaedhj02	1
dysodia_spissicornis	aerophilus_jessiehillaedhj02	2
dysodia_spissicornis	aerophilus_jessiehillaedhj03	1
dysodia_janzen12	aerophilus_jessiehillaedhj04	2
dysodia_janzen35	aerophilus_jessiehillaedhj04	2
dysodia_janzen35	aerophilus_jessiehillaedhj05	1
dysodia_sica	aerophilus_jessiehillaedhj05	1
zeuzerodes_caenosa	aerophilus_mingfangi	2
zeuzerodes_caenosa	aerophilus_mingfangidhj01	4
dysodia_janzen10	aerophilus_mingfangidhj02	1
zeuzerodes_caenosa	aerophilus_mingfangidhj02	5
zeuzerodes_caenosa	aerophilus_mingfangidhj03	12
zeuzerodes_caenosa	aerophilus_mingfangidhj04	3
zeuzerodes_caenosa	aerophilus_mingfangidhj05	5
episimus_ortygia	aerophilus_rebeccashapleyae	7
chlamydastis_montywoodi	aerophilus_robpringlei	2
chlamydastis_vividella	aerophilus_robpringlei	1
stenoma_janzen209	aerophilus_robpringlei	1
apotoforma_janzen305	aerophilus_vaughntani	9
geljanzen01_janzen348	aerophilus_vaughntani	1
bulia_mexicana	agathjanzen01_janzen01	10
pachydota_saduca	agathjanzen01_janzen01	2
chloropaschia_mennusalis	agrypon_gauldn2	4
chloropaschia_pegalis	agrypon_gauldn2	3
deuterollyta_oediperalisdhj02	agrypon_gauldn2	1
hemiceras_plusiata	agrypon_nelsonidhj01	4
euglyphis_deusta	agrypon_nelsonidhj02	36
arsenura_drucei	agrypon_wahl05	2
ceratocilia_sixolalis	alabagrus_almasolisae	37
phostria_truncatalis	alabagrus_andresfreitasi	4
phostria_metalobalis	alabagrus_andywarreni	3
phostria_truncatalis	alabagrus_andywarreni	2
hyalorista_exuvialisdhj02	alabagrus_arua	8
musobiolep01_biolep448	alabagrus_axelhausmanni	1
eulepte_janzen06	alabagrus_bobpoolei	1
eulepte_janzen12	alabagrus_bobpoolei	1
eulepte_solis15	alabagrus_bobpoolei	15
microthyris_prolongalisdhj02	alabagrus_bobrobbinsi	2
desmia_benealisdhj03	alabagrus_cara	1
desmia_biolep22dhj02	alabagrus_cara	1
desmia_ufeus	alabagrus_cara	1
diacme_biolep02	alabagrus_cara	1
conchylodes_arcifera	alabagrus_cocto	1
conchylodes_grammaphora	alabagrus_cocto	1
desmia_ploralisdhj01	alabagrus_cocto	1
desmia_ploralisdhj03	alabagrus_cocto	1
herpetogramma_salbialis	alabagrus_cocto	1
phostria_vitrifera	alabagrus_cocto	1
salbia_haemorrhoidalis	alabagrus_cocto	3
syllepte_solis22	alabagrus_cocto	4
ategumia_lotanalis	alabagrus_combos	6
ategumia_lotanalisdhj08	alabagrus_combos	1
ategumia_lotanalisdhj09	alabagrus_combos	5
ategumia_matutinalis	alabagrus_combos	2
ategumia_matutinalisdhj03	alabagrus_combos	3
conchylodes_platinalis	alabagrus_combos	1
herpetogramma_salbialis	alabagrus_combos	17
herpetogramma_solis10	alabagrus_combos	2
patania_solis03	alabagrus_combos	8
pycnarmon_biolep66	alabagrus_combos	1
rhectocraspeda_periusalis	alabagrus_combos	3
spilojanzen01_janzen14dhj02	alabagrus_combos	1
neurophyseta_biolep226	alabagrus_cuna	8
coenostolopsis_apicalis	alabagrus_donharveyi	7
musobiolep01_biolep448	alabagrus_donlafontainei	5
pantographa_suffusalis	alabagrus_ekchuah	2
syllepte_amandodhj02	alabagrus_ekchuah	2
desmia_benealisdhj02	alabagrus_fernandodiasi	1
desmia_janzen19	alabagrus_fernandodiasi	1
herpetogramma_solis10	alabagrus_fernandodiasi	1
rhectocraspeda_periusalis	alabagrus_fernandodiasi	4
spilobiolep01_biolep243	alabagrus_fernandodiasi	1
spilobiolep01_biolep311	alabagrus_fernandodiasi	1
spilobiolep01_biolep402	alabagrus_fernandodiasi	2
spilobiolep01_biolep403	alabagrus_fernandodiasi	2
spilobiolep01_biolep414	alabagrus_fernandodiasi	2
spilobiolep01_biolep415	alabagrus_fernandodiasi	1
phaedropsis_solis350dhj02	alabagrus_iankitchingi	2
eulepte_janzen03	alabagrus_isidrochaconi	1
glyphodes_sibillalisdhj01	alabagrus_isidrochaconi	18
desmia_janzen07	alabagrus_jackiemillerae	1
desmia_solis19	alabagrus_jackiemillerae	7
herpetogramma_salbialis	alabagrus_jackiemillerae	1
patania_solis03	alabagrus_jackiemillerae	1
phostria_janzen05	alabagrus_jackiemillerae	2
pilocrocis_purpurascens	alabagrus_jackiemillerae	1
spilobiolep01_biolep403	alabagrus_jackiemillerae	3
eulepte_concordalis	alabagrus_janzeni	61
eulepte_janzen02	alabagrus_janzeni	1
eulepte_janzen06	alabagrus_janzeni	13
eulepte_solis15	alabagrus_janzeni	4
ategumia_lotanalis	alabagrus_jeanfrancoislandryi	1
ategumia_lotanalisdhj07	alabagrus_jeanfrancoislandryi	1
ategumia_lotanalisdhj09	alabagrus_jeanfrancoislandryi	1
conchylodes_arcifera	alabagrus_jeanfrancoislandryi	1
eulepte_alialis	alabagrus_jeanfrancoislandryi	20
herpetogramma_phaeopteralis	alabagrus_jeanfrancoislandryi	1
herpetogramma_salbialis	alabagrus_jeanfrancoislandryi	9
hyalorista_exuvialisdhj02	alabagrus_jeanfrancoislandryi	1
microthyris_anormalis	alabagrus_jeanfrancoislandryi	1
patania_solis03	alabagrus_jeanfrancoislandryi	1
phostria_samealis	alabagrus_jeanfrancoislandryi	1
salbia_haemorrhoidalis	alabagrus_jeanfrancoislandryi	3
desmia_janzen09	alabagrus_jeanmariecadioui	2
desmia_octomaculalis	alabagrus_jeanmariecadioui	1
desmia_ploralisdhj01	alabagrus_jeanmariecadioui	6
desmia_ploralisdhj02	alabagrus_jeanmariecadioui	1
desmia_ploralisdhj03	alabagrus_jeanmariecadioui	28
desmia_ploralisdhj06	alabagrus_jeanmariecadioui	1
desmia_solis100	alabagrus_jeanmariecadioui	8
desmia_solis19	alabagrus_jeanmariecadioui	1
leucochromodes_melusinalisdhj01	alabagrus_jennyphillipsae	3
lygropia_tripunctatadhj04	alabagrus_jimmilleri	1
microthyris_anormalisdhj02	alabagrus_jimmilleri	1
microthyris_prolongalis	alabagrus_jimmilleri	2
microthyris_prolongalisdhj02	alabagrus_jimmilleri	1
desmia_biolep09	alabagrus_johnbrowni	2
