par	n_obs_alone	n_obs_with_host	n_obs_tot	phylum	class	order	family	subfamily	genus	spec_index	n_obs_with_col_event	n_col_events
acrolyta_janzen04	1	1	2	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Cryptinae	Acrolyta	1	2	2
actia_janzen02	0	2	2	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	0.5	2	2
actia_janzen04	0	9	9	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	9	8
actia_janzen05	1	1	2	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	2	2
actia_janzen06	3	14	17	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	0.530612245	14	14
actia_janzen07	0	14	14	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	0.755102041	14	13
actia_janzen08	5	3	8	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	0.333333333	8	8
actia_janzen09	3	16	19	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	0.375	19	18
actia_janzen10	0	19	19	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	0.35734072	19	19
actia_janzen11	4	25	29	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	0.6672	29	28
actia_janzen12	0	1	1	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	1	1
actia_janzen13	19	2	21	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	20	20
actia_janzen15	0	3	3	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	0.333333333	3	3
actia_janzen17	1	1	2	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	1	1
actia_janzen18	2	1	3	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	3	3
actia_janzen19	10	11	21	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	21	21
actia_janzen20	0	2	2	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	0.5	2	2
actia_janzen21	0	1	1	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	1	1
actia_janzen22	2	2	4	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	3	3
actia_janzen23	0	3	3	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	3	3
actia_janzen24	0	1	1	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	1	1
actia_janzen25	3	3	6	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	6	6
actia_janzen26	0	2	2	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	2	2
actia_janzen27	1	4	5	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	0.25	4	4
actia_janzen28	1	2	3	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	3	3
actia_janzen29	0	1	1	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	1	1
actia_janzen31	1	3	4	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	0.555555556	4	4
actia_janzen35	2	1	3	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	2	2
actia_janzen40	0	1	1	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	1	1
actia_janzen41	0	1	1	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	1	1
actia_janzen42	0	1	1	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	1	1
actia_janzen43	0	1	1	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	1	1
actia_janzen44	0	1	1	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	1	1
actia_janzen45	3	2	5	Arthropoda	Insecta	Diptera	Tachinidae	Tachininae	Actia	1	4	4
aerophilus_bradzlotnicki	0	6	6	Arthropoda	Insecta	Hymenoptera	Braconidae	Agathidinae	Aerophilus	0.388888889	6	4
aerophilus_braunsiasharkey09	0	2	2	Arthropoda	Insecta	Hymenoptera	Braconidae	Agathidinae	Aerophilus	1	2	2
aerophilus_colleenhitchcockaedhj02	1	1	2	Arthropoda	Insecta	Hymenoptera	Braconidae	Agathidinae	Aerophilus	1	2	2
aerophilus_colleenhitchcockaedhj03	0	1	1	Arthropoda	Insecta	Hymenoptera	Braconidae	Agathidinae	Aerophilus	1	1	1
aerophilus_colleenhitchcockaedhj05	0	1	1	Arthropoda	Insecta	Hymenoptera	Braconidae	Agathidinae	Aerophilus	1	NA	NA
aerophilus_colleenhitchcockaedhj06	0	1	1	Arthropoda	Insecta	Hymenoptera	Braconidae	Agathidinae	Aerophilus	1	1	1
aerophilus_gregburtoni	0	1	1	Arthropoda	Insecta	Hymenoptera	Braconidae	Agathidinae	Aerophilus	1	1	1
aerophilus_janzen02	0	6	6	Arthropoda	Insecta	Hymenoptera	Braconidae	Agathidinae	Aerophilus	1	6	4
aerophilus_janzen13	0	2	2	Arthropoda	Insecta	Hymenoptera	Braconidae	Agathidinae	Aerophilus	1	2	2
aerophilus_janzen14	0	1	1	Arthropoda	Insecta	Hymenoptera	Braconidae	Agathidinae	Aerophilus	1	1	1
aerophilus_jessiehillae	0	1	1	Arthropoda	Insecta	Hymenoptera	Braconidae	Agathidinae	Aerophilus	1	1	1
